     0    20.76 
     1    22.49 
     2    21.62 
     3    23.35 
     4    22.92 
     5    19.46 
     6    20.76 
     7    20.32 
     8    20.76 
     9    20.76 
    10    23.35 
    11    20.76 
    12    21.62 
    13    23.35 
    14    19.46 
    15    20.76 
    16    21.62 
    17    20.76 
    18    21.19 
    19    20.76 
    20    23.35 
    21    20.76 
    22    20.32 
    23    19.46 
    24    22.05 
    25    20.76 
    26    19.89 
    27    20.76 
    28    19.89 
    29    18.16 
    30    21.19 
    31    22.05 
    32    21.62 
    33    21.62 
    34    18.59 
    35    21.19 
    36    19.89 
    37    20.32 
    38    20.76 
    39    22.05 
    40    21.19 
    41    19.89 
    42    19.46 
    43    20.32 
    44    19.46 
    45    22.92 
    46    21.62 
    47    22.49 
    48    21.19 
    49    22.49 
    50    20.76 
    51    22.49 
    52    24.22 
    53    22.49 
    54    18.16 
    55    18.59 
    56    22.49 
    57    19.89 
    58    20.76 
    59    22.05 
    60    19.89 
    61    22.92 
    62    19.89 
    63    22.49 
    64    21.62 
    65    22.92 
    66    25.51 
    67    22.49 
    68    21.19 
    69    18.16 
    70    20.76 
    71    21.62 
    72    22.92 
    73    22.49 
    74    21.62 
    75    19.89 
    76    22.49 
    77    19.03 
    78    23.35 
    79    22.92 
    80    20.76 
    81    20.76 
    82    20.76 
    83    22.05 
    84    23.35 
    85    18.59 
    86    21.62 
    87    20.32 
    88    22.05 
    89    16.86 
    90    18.16 
    91    22.05 
    92    22.05 
    93    19.46 
    94    20.76 
    95    18.59 
    96    22.92 
    97    22.92 
    98    22.49 
    99    22.49 
